key,en,am
global_indicators:11.b.1-title,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,
global_indicators:11.b.2-title,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,
global_indicators:11.c.1-title,"Proportion of financial support to the least developed countries that is allocated to the construction and retrofitting of sustainable, resilient and resource-efficient buildings utilizing local materials",
global_indicators:12.1.1-title,Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies,
global_indicators:12.2.1-title,"Material footprint, material footprint per capita, and material footprint per GDP",
global_indicators:12.2.2-title,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",
global_indicators:12.3.1-title,Global food loss index,
global_indicators:12.4.1-title,"Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",
global_indicators:12.4.2-title,"Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",
global_indicators:12.5.1-title,"National recycling rate, tons of material recycled",
global_indicators:12.6.1-title,Number of companies publishing sustainability reports,
global_indicators:12.7.1-title,Number of countries implementing sustainable public procurement policies and action plans,
global_indicators:12.8.1-title,Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,
global_indicators:12.a.1-title,Amount of support to developing countries on research and development for sustainable consumption and production and environmentally sound technologies,
global_indicators:12.b.1-title,Number of sustainable tourism strategies or policies and implemented action plans with agreed monitoring and evaluation tools,
global_indicators:12.c.1-title,Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels,
global_indicators:13.1.1-title,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",
global_indicators:13.1.2-title,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,
global_indicators:13.1.3-title,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,
global_indicators:13.2.1-title,"Number of countries with NDCs, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",
global_indicators:13.3.1-title,"Number of countries that have integrated mitigation, adaptation, impact reduction and early warning into primary, secondary and tertiary curricula",
global_indicators:13.3.2-title,"Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions",
global_indicators:13.a.1-title,Mobilized amount of United States dollars per year between 2020 and 2025 accountable towards the $100 billion commitment,
global_indicators:13.b.1-title,"Number of least developed countries and small island developing States that are receiving specialized support, and amount of support, including finance, technology and capacity-building, for mechanisms for raising capacities for effective climate change-related planning and management, including focusing on women, youth and local and marginalized communities",
global_indicators:14.1.1-title,Index of coastal eutrophication and floating plastic debris density,
global_indicators:14.2.1-title,Proportion of national exclusive economic zones managed using ecosystem-based approaches,
global_indicators:14.3.1-title,Average marine acidity (pH) measured at agreed suite of representative sampling stations,
global_indicators:14.4.1-title,Proportion of fish stocks within biologically sustainable levels,
global_indicators:14.5.1-title,Coverage of protected areas in relation to marine areas,
global_indicators:14.6.1-title,"Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",
global_indicators:14.7.1-title,"Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries",
global_indicators:14.a.1-title,Proportion of total research budget allocated to research in the field of marine technology,
global_indicators:14.b.1-title,Progress by countries in the degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries,
global_indicators:14.c.1-title,"Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nations Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources",
global_indicators:15.1.1-title,Forest area as a proportion of total land area,
global_indicators:15.1.2-title,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",
global_indicators:15.2.1-title,Progress towards sustainable forest management,
global_indicators:15.3.1-title,Proportion of land that is degraded over total land area,
global_indicators:15.4.1-title,Coverage by protected areas of important sites for mountain biodiversity,
global_indicators:15.4.2-title,Mountain Green Cover Index,
global_indicators:15.5.1-title,Red List Index,
global_indicators:15.6.1-title,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",
global_indicators:15.7.1-title,Proportion of traded wildlife that was poached or illicitly trafficked,
global_indicators:15.8.1-title,Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,
global_indicators:15.9.1-title,Progress towards national targets established in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020,
global_indicators:15.a.1-title,Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,
global_indicators:15.b.1-title,Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,
global_indicators:15.c.1-title,Proportion of traded wildlife that was poached or illicitly trafficked,
global_indicators:16.1.1-title,"Number of victims of intentional homicide per 100,000 population, by sex and age",
global_indicators:16.1.2-title,"Conflict-related deaths per 100,000 population, by sex, age and cause",
global_indicators:16.1.3-title,"Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months",
global_indicators:16.1.4-title,Proportion of population that feel safe walking alone around the area they live,
global_indicators:16.10.1-title,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",
global_indicators:16.10.2-title,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",
global_indicators:16.2.1-title,Proportion of children aged 1–17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,
global_indicators:16.2.2-title,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",
global_indicators:16.2.3-title,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 1,
global_indicators:16.3.1-title,Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,
global_indicators:16.3.2-title,Unsentenced detainees as a proportion of overall prison population,
global_indicators:16.4.1-title,Total value of inward and outward illicit financial flows (in current United States dollars),
global_indicators:16.4.2-title,"Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",
global_indicators:16.5.1-title,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",
global_indicators:16.5.2-title,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",
global_indicators:16.6.1-title,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",
global_indicators:16.6.2-title,Proportion of population satisfied with their last experience of public services,
global_indicators:16.7.1-title,"Proportions of positions (by sex, age, persons with disabilities and population groups) in public institutions (national and local legislatures, public service, and judiciary) compared to national distributions",
global_indicators:16.7.2-title,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",
global_indicators:16.8.1-title,Proportion of members and voting rights of developing countries in international organizations,
global_indicators:16.9.1-title,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",
