key,en,ar
data:60 - 64 years,60 to 64 years,
data:60 years and over,60 years and over,
data:65 years and over,65 years and over,
data:Baden-Württemberg,Baden-Wuerttemberg,
data:Bayern,Bavaria,
data:Berlin,Berlin,
data:Brandenburg,Brandenburg,
data:Bremen,Bremen,
data:Bundesland,Federal state,
data:Hamburg,Hamburg,
data:Hessen,Hesse,
data:Mecklenburg-Vorpommern,Mecklenburg Western Pomerania,
data:Niedersachsen,Lower Saxony,
data:Nordrhein-Westfalen,North Rhine-Westphalia,
data:Rheinland-Pfalz,Rhineland Palatinate,
data:Saarland,Saarland,
data:Sachsen,Saxony,
data:Sachsen-Anhalt,Saxony-Anhalt,
data:Schleswig-Holstein,Schleswig-Holstein,
data:Thüringen,Thuringia,
data:Year,Year,
"data:a) agriculture, forestry and fishing (nace rev 2, section a)","Agriculture, forestry and fishing (NACE Rev. 2, section A)",
data:a) at least one population and housing census in the last 10 years conducted,a) At least one population and housing census in the last 10 years conducted,
data:a) branches of payment service providers,a) Branches of payment service providers,
data:a) branches of payment service providers (per 100 000 adults),a) Branches of payment service providers,
data:a) cardiovascular disease,a) cardiovascular disease,
data:a) children and youths in grades 2/3 with a minimum proficiency level in,a) Children and youths in grades 2/3 with a minimum proficiency level in,
data:a) children and youths in grades 2/3 with a minimum proficiency level in (%),a) Children and youths in grades 2/3 with a minimum proficiency level in,
data:a) electricity,a) electricity,
data:a) final energy productivity,Final energy productivity,
data:a) germany (total),Germany (total),
data:a) government spending on health (cofog section 07),Government spending on health (COFOG section 07),
data:a) government spending on health (cofog section 07) (%),Government spending on health (COFOG section 07),
data:a) hazardous waste generated per capita,a) Hazardous waste generated per capita,
data:a) materially deprived persons,a) Materially deprived persons,
data:a) medical doctors,Medical doctors,
data:a) not at risk,Not at risk,
data:a) oda (commitments) for biodiversity,ODA (commitments) for biodiversity,
data:a) oda (gross disbursements) for water and sanitation,ODA (gross disbursements) for water and sanitation,
data:a) oda (gross disbursements) to the forestry sector,ODA (gross disbursements) to the forestry sector,
data:a) over 144 kbps to under 2 mbps,a) Over 144 Kbps to under 2 Mbps,
data:a) passenger transport,a) Passenger transport,
data:a) police reporting rate for physical assault,Police reporting rate for physical assault,
data:a) police reporting rate for physical assault (%),Police reporting rate for physical assault,
data:a) population using safely managed sanitation services,a) Population using safely managed sanitation services,
data:a) population using safely managed sanitation services (%),a) Population using safely managed sanitation services,
data:a) rural and non-rural areas,Rural and non-rural areas,
data:a) time series,Time series,
data:a) total (moving four-year average),Total (moving four-year average),
data:above-ground biomass stock in forest,Above-ground biomass stock in forest,
data:access to drinking water and sanitation subsidised by germany,Access to drinking water and sanitation subsidised by germany,
data:accounts at payment service providers,Accounts at payment service providers,
data:accounts at payment service providers (1 000),Accounts at payment service providers,
data:activities,Activities,
data:adolescent and adult smokers,Adolescent and adult smokers,
data:adolescents (12 to 17 years),Adolescents (12 to 17 years),
data:adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,Adult population achieving at least a fixed level of proficiency in functional: a) literacy skills,
data:adult population achieving at least a fixed level of proficiency in functional a) literacy skills:,Adult population achieving at least a fixed level of proficiency in functional: a) literacy skills,
data:adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,Adult population achieving at least a fixed level of proficiency in functional: b) numeracy skills,
data:adult population achieving at least a fixed level of proficiency in functional b) numeracy skills:,Adult population achieving at least a fixed level of proficiency in functional: b) numeracy skills,
data:adults (15 years and older),Adults (15 years and older),
data:age,Age group,
data:age (male and female),Age group (male and female),
"data:age (male and female, with and without disabilities)","Age (male and female, with and without disabilities)",
data:agricultural area under productive and organic agriculture practices,Agricultural area under productive and organic agriculture practices,
data:agricultural area under productive and organic agriculture practices (%),Agricultural area under productive and organic agriculture practices,
data:aid for trade commitments (oda and oof),Aid for trade commitments (ODA and OOF),
"data:aid for trade commitments (oda and oof) (mn usd, constant prices (2016))",Aid for trade commitments (ODA and OOF),
data:aid for trade gross disbursements (oda and oof),Aid for trade gross disbursements (ODA and OOF),
"data:aid for trade gross disbursements (oda and oof) (mn usd, constant prices (2016))",Aid for trade gross disbursements (ODA and OOF),
data:air pollutants,Air pollutants,
data:air pollutants overall,Air pollutants overall,
data:alcohol consumption (conversion by national factors),Alcohol consumption (conversion by national factors),
data:alcohol consumption (conversion by national factors) (litres of pure alcohol per capita),Alcohol consumption (conversion by national factors),
data:alcohol consumption (conversion by un factors),Alcohol consumption (conversion by UN factors),
data:alcohol consumption (conversion by un factors) (litres of pure alcohol per capita),Alcohol consumption (conversion by UN factors),
data:all age groups,All age groups,
data:animal genetic resources,Animal genetic resources,
data:animal genetic resources (number),Animal genetic resources,
data:annual growth rate of real gdp,Annual growth rate of real GDP,
data:annual growth rate of real gdp per capita,Annual growth rate of real GDP per capita,
data:annual growth rate of real gdp per capita (%),Annual growth rate of real GDP per capita,
data:annual growth rate of real gdp per employed person,Annual growth rate of real GDP per employed person,
data:annual growth rate of real gdp per employed person (%),Annual growth rate of real GDP per employed person,
data:area,Area,
data:area of law,Area of Law,
data:at-risk-of-poverty or social exclusion (according to eurostat definition),At-risk-of-poverty or social exclusion,
data:at-risk-of-poverty or social exclusion (according to eurostat definition) (%),At-risk-of-poverty or social exclusion,
data:at-risk-of-poverty rate (according to eurostat definition),At-risk-of-poverty rate,
data:at-risk-of-poverty rate (according to eurostat definition) (%),At-risk-of-poverty rate,
data:available income of private households,Available income of private households,
data:average hourly earnings of employees,Average hourly earnings of employees,
data:average hourly earnings of employees (eur/h),Average hourly earnings of employees,
data:average of 13 ihr core capacity scores,Average of 13 IHR core capacity scores,
data:average of 13 ihr core capacity scores (%),Average of 13 IHR core capacity scores,
data:average ph-concentration in the german bight,Average pH-concentration in the German Bight,
data:average ph-concentration in the german bight (ph-value),Average pH-concentration in the German Bight,
data:b) 2 mbps to under 10 mbps,b) 2 Mbps to under 10 Mbps,
data:b) at risk,At risk,
data:b) atms of national payment service providers,b) ATMs of national payment service providers,
data:b) atms of national payment service providers (per 100 000 adults),b) ATMs of national payment service providers,
data:b) birth registration,b) Birth registration,
data:b) cancer,b) cancer,
data:b) dentists,Dentists,
data:b) environmental protection expenditure,Environmental protection expenditure,
data:b) freight transport,b) Freight transport,
data:b) government spending on education (cofog section 09),Government spending on education (COFOG section 09),
data:b) government spending on education (cofog section 09) (%),Government spending on education (COFOG section 09),
data:b) hazardous waste treated,b) Hazardous waste treated,
"data:b) mimec (nace rev 2, sections b, c, d, f)","MIMEC (NACE Rev. 2, sections B, C, D, F)",
data:b) oda (gross disbursements) for other related water and sanitation purposes,ODA (gross disbursements) for other related water and sanitation purposes,
data:b) population with a bathtub or a shower,b) Population with a bathtub or a shower,
data:b) population with a bathtub or a shower (%),b) Population with a bathtub or a shower,
data:b) primary energy consumption,Primary energy consumption,
data:b) severely materially deprived persons,b) Serverely materially deprived persons,
data:b) target,Targets,
data:b) target (max),Targets (maximum),
data:b) target (min),Targets (minimum),
data:b) the internet for pedagogical purposes,b) the Internet for pedagogical purposes,
data:b) under observation,Under observation,
data:baden-wuerttemberg,Baden-Wuerttemberg,
data:baltic sea,Baltic sea,
data:bavaria,Bavaria,
data:bb,Brandenburg,
data:be,Berlin,
data:berlin,Berlin,
data:bn eur,Billions of euros (bn €),
data:brandenburg,Brandenburg,
data:bremen,Bremen,
"data:building and adjacent open area, commercial/ industrial area","Building and adjacent open area, commercial/ industrial area",
data:burglary in homes,Burglary in homes,
data:businesses who had the impression that public officials are corruptible (during interactions with public agencies in the previous two years),Businesses who had the impression that public officials are corruptible (during interactions with public agencies in the previous two years),
data:businesses who had the impression that public officials are corruptible (during interactions with public agencies in the previous two years) (%),Businesses who had the impression that public officials are corruptible (during interactions with public agencies in the previous two years),
data:bw,Baden-Wuerttemberg,
data:by,Bavaria,
data:c) 10 mbps to under 30 mbps,c) 10 Mbps to under 30 Mbps,
data:c) breeding programs for preservation,Breeding programs for preservation,
data:c) children and youths at the end of lower secondary education with a minimum proficiency level in,c) Children and youths at the end of lower secondary education with a minimum proficiency level in,
data:c) children and youths at the end of lower secondary education with a minimum proficiency level in (%),c) Children and youths at the end of lower secondary education with a minimum proficiency level in,
data:c) computers for pedagogical purposes,c) computers for pedagogical purposes,
data:c) death registration,c) Death registration,
data:c) diabetes mellitus,c) diabetes mellitus,
data:c) government spending on social protection (cofog section 10),Government spending on social protection (COFOG section 10),
data:c) government spending on social protection (cofog section 10) (%),Government spending on social protection (COFOG section 10),
data:c) nursing and midwifery personnel,Nursing and midwifery personnel,
data:c) police reporting rate for robbery,Police reporting rate for robbery,
data:c) police reporting rate for robbery (%),Police reporting rate for robbery,
"data:c) services (nace rev 2, sections e, g to t)","Services (NACE Rev. 2, sections E, G, to T)",
data:c) unknown,Unknown,
data:calculated annual values,Calculated annual values,
data:capital to assets ratio,Capital to assets ratio,
data:capital to assets ratio (%),Capital to assets ratio,
data:change in open space per capita,Change in open space per capita,
data:children at acute risk of harm with signs of physical abuse,Children at acute risk of harm with signs of physical abuse,
data:children at acute risk of harm with signs of physical abuse (%),Children at acute risk of harm with signs of physical abuse,
data:children at acute risk of harm with signs of physical or psychological abuse,Children at acute risk of harm with signs of physical or psychological abuse,
data:children at acute risk of harm with signs of physical or psychological abuse (%),Children at acute risk of harm with signs of physical or psychological abuse,
data:children at acute risk of harm with signs of psychological abuse,Children at acute risk of harm with signs of psychological abuse,
data:children at acute risk of harm with signs of psychological abuse (%),Children at acute risk of harm with signs of psychological abuse,
data:children in child day care at the age of 5,Children in child day care at the age of 5,
data:children in child day care at the age of 5 (%),Children in child day care at the age of 5,
data:children in institutional all-day care,Children in institutional all-day care,
data:children under 5 years of age whose births have been registered with a civil authority,Children under 5 years of age whose births have been registered with a civil authority,
data:children under 5 years of age whose births have been registered with a civil authority (%),Children under 5 years of age whose births have been registered with a civil authority,
data:cities with a legally required direct participation of civil society in urban planning and management,Cities with a legally required direct participation of civil society in urban planning and management,
data:cities with a legally required direct participation of civil society in urban planning and management (%),Cities with a legally required direct participation of civil society in urban planning and management,
data:class 3 areas (elevation 2500-3500 meters),Class 3 areas (Elevation 2&nbsp500-3&nbsp500 meters),
data:class 4 areas (elevation 1500-2500 meters),Class 4 areas (Elevation 1&nbsp500-2&nbsp500 meters),
data:class 5 areas (elevation 1000-1500 meters),Class 5 areas (Elevation 1&nbsp000-1&nbsp500 meters),
data:class 6 areas (elevation  300 -1000 meters),Class 6 areas (Elevation 300 -1&nbsp000 meters),
data:classification,Classification,
"data:co2 emission (without land use, land-use change and forestry) per real gdp","CO<sub>2</sub>-emission (without land use, land-use change and forestry) per real GDP",
"data:co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))","CO<sub>2</sub>-emission (without land use, land-use change and forestry) per real GDP",
data:co2 emissions per gross value added (price adjusted) in manufacturing industries,CO<sub>2</sub>-emissions per gross value added (price adjusted) in manufacturing industries,
data:co2 emissions per gross value added (price adjusted) in manufacturing industries (g/eur (constant 2010)),CO<sub>2</sub>-emissions per gross value added (price adjusted) in manufacturing industries,
data:co2 emissions per mileage of motor vehicles of the public sector,CO<sub>2</sub> emissions per mileage of motor vehicles of the public sector,
data:commercial air transport,Commercial air transport,
data:compliance with the basel convention,Compliance with the Basel Convention,
data:compliance with the basel convention (%),Compliance with the Basel Convention,
data:compliance with the minamata convention,Compliance with the Minamata Convention,
data:compliance with the minamata convention (%),Compliance with the Minamata Convention,
data:compliance with the montreal protocol,Compliance with the Montreal Protocol,
data:compliance with the montreal protocol (%),Compliance with the Montreal Protocol,
data:compliance with the rotterdam convention,Compliance with the Rotterdam Convention,
data:compliance with the rotterdam convention (%),Compliance with the Rotterdam Convention,
data:compliance with the stockholm convention,Compliance with the Stockholm Convention,
data:compliance with the stockholm convention (%),Compliance with the Stockholm Convention,
data:consumption by private households,Consumption by private households,
"data:consumption, investments and exports (price-adjusted)","Consumption, investments and exports (price-adjusted)",
data:cooling water,Cooling water,
data:copying or moving of files and folders,Copying or moving of files and folders,
data:corruption perceptions index,Corruption perceptions index,
data:countries with nationale statistical legislation exists that complies with the fundamental principles of offical statistics,Countries with nationale statistical legislation exists that complies with the Fundamental Principles of Offical Statistics,
data:countries with nationale statistical legislation exists that complies with the fundamental principles of offical statistics (number),Countries with nationale statistical legislation exists that complies with the Fundamental Principles of Offical Statistics,
"data:coverage of dtp (diphtheria, tetanus and pertussis) containing vaccine at school entrance","Coverage of DTP (diphtheria, tetanus and pertussis) containing vaccine at school entrance",
"data:coverage of dtp (diphtheria, tetanus and pertussis) containing vaccine at school entrance (%)","Coverage of DTP (diphtheria, tetanus and pertussis) containing vaccine at school entrance",
data:coverage of hpv containing vaccine of 15 years old girls,Coverage of HPV containing vaccine of 15 years old girls,
data:coverage of hpv containing vaccine of 15 years old girls (%),Coverage of HPV containing vaccine of 15 years old girls,
data:coverage of measles containing vaccine at school entrance,Coverage of measles containing vaccine at school entrance,
data:coverage of measles containing vaccine at school entrance (%),Coverage of measles containing vaccine at school entrance,
data:coverage of pneumococcal conjugate vaccine at school entrance,Coverage of pneumococcal conjugate vaccine at school entrance,
data:coverage of pneumococcal conjugate vaccine at school entrance (%),Coverage of pneumococcal conjugate vaccine at school entrance,
"data:creating electronic presentations or documents with text, images, tables or charts","Creating electronic presentations or documents with text, images, tables or charts",
data:criminal offences,Criminal offences,
data:criminal offences (overall),Criminal offences (total),
data:current accounts,Current accounts,
data:current tobacco use among persons aged 15 years and older,Current tobacco use among persons aged 15 years and older,
data:current tobacco use among persons aged 15 years and older (%),Current tobacco use among persons aged 15 years and older,
data:current tobacco use among persons aged 15 years and older (age-standardised to who standard population),Current tobacco use among persons aged 15 years and older (age-standardised to WHO Standard Population),
data:current tobacco use among persons aged 15 years and older (age-standardised to who standard population) (%),Current tobacco use among persons aged 15 years and older (age-standardised to WHO Standard Population),
data:d) 30 mbps to under 100 mbps,d) 30 Mbps to under 100 Mbps,
data:d) adapted infrastructure and materials for students with disabilities,d) adapted infrastructure and materials for students with disabilities,
data:d) chronic respiratory disease,d) chronic respiratory disease,
data:d) pharmacists,Pharmacists,
data:d) rudiments remaining,Rudiments remaining,
data:data from bmel,Data from BMEL,
data:data from destatis,Data from Destatis,
data:debt level of the total public budget,Debt level of the total public budget,
"data:degree of combat illegal, unreported and unregulated fishing","Degree of combat illegal, unreported and unregulated fishing",
"data:degree of combat illegal, unreported and unregulated fishing (/)","Degree of combat illegal, unreported and unregulated fishing",
data:degree of integrated water resources management implementation,Degree of integrated water resources management implementation,
data:degree of integrated water resources management implementation (%),Degree of integrated water resources management implementation,
data:deposit onto or into land and land treatment and release into water bodies,deposit onto or into land and land treatment and release into water bodies,
data:diarrhoea,diarrhoea,
data:difference between average gross hourly earnings of women and men,Difference between average gross hourly earnings of women and men,
data:dimension,Time series,
data:direct co2 emissions and co2 content of consumer goods,direct CO<sub>2</sub> emissions and CO<sub>2</sub> content of consumer goods,
data:direct energy consumption,Direct energy consumption,
data:disability,Disability status,
"data:disability (all age groups, male and female)","Disability (all age groups, male and female)",
data:disabled,Persons with disability,
data:disbursements mainly to developing and newly industrialising countries to support good governance for food security,Disbursements mainly to developing and newly industrialising countries to support good governance for food security,
data:display,Display,
data:dmc (abiotic and biotic material),DMC (abiotic and biotic material),
data:dmc per capita,DMC per capita,
data:dmc per real gdp,DMC per real GDP,
data:documents issued for the import and export of protected species,Documents issued for the import and export of protected species,
data:documents issued for the import and export of protected species (number),Documents issued for the import and export of protected species,
data:e) 100 mbps and over,e) 100 Mbps and over,
data:e) basic drinking water,e) basic drinking water,
data:early school leavers (18- to 24-year-olds),Early school leavers (18- to 24-year-olds),
data:ecological farming area in total agricultural area,Ecological farming area in total agricultural area,
data:ecological farming area in total agricultural area (%),Ecological farming area in total agricultural area,
data:economic sector,Economic sector,
data:ecosystems in which critical loads for eutrophication due to nitrogen input are exceeded,Ecosystems in which critical loads for eutrophication due to nitrogen input are exceeded,
data:education,Education level,
data:electricity generated from renewable energy sources,Electricity generated from renewable energy sources,
data:emas organisational locations,EMAS organisational locations,
data:emissions of air pollutants,Emissions of air pollutants,
data:employees in thousands,Employees in thousands,
data:employment and economic benefits,employment and economic benefits,
data:energy consumption and co2 emissions by private households,Energy consumption and CO<sub>2</sub> emissions by private households,
data:energy content of consumer goods,Energy content of consumer goods,
data:energy intensity measured in terms of primary energy and gdp,Energy intensity measured in terms of primary energy and GDP,
data:energy recovery,energy recovery,
data:eu-28,EU-28,
data:eur,Euro,
data:eur/h,EUR/h,
data:expansion of settlement and transport area,Expansion of settlement and transport area,
data:exploitation of labour,Exploitation of labour,
"data:exploitation of labour, 14 to under 18 years","Exploitation of labour, 14 to under 18 years",
"data:exploitation of labour, 18 to under 21 years","Exploitation of labour, 18 to under 21 years",
"data:exploitation of labour, 21 to under 60 years","Exploitation of labour, 21 to under 60 years",
"data:exploitation of labour, female","Exploitation of labour, female",
"data:exploitation of labour, male","Exploitation of labour, male",
"data:exploitation of labour, under 14 years","Exploitation of labour, under 14 years",
data:export refunds,Export refunds,
data:export refunds (eur),Export refunds,
data:extensive material deprivation,Extensive material deprivation,
data:extensive material deprivation (%),Extensive material deprivation,
data:f) single-sex basic sanitation facilities,f) single-sex basic sanitation facilities,
data:facilities,Facilities,
data:fatal occupational accidents,Fatal occupational accidents,
data:fatal occupational accidents (per 100 000 employees),Fatal occupational accidents,
data:fatalities due to road traffic accidents,Fatalities due to road traffic accidents,
data:fatalities due to road traffic accidents (per 100 000 inhabitants),Fatalities due to road traffic accidents,
"data:federal budget on research and development in the field of coastal, ocean and polar science, geoscience","Federal budget on research and development in the field of coastal, ocean and polar science, geoscience",
"data:federal budget on research and development in the field of coastal, ocean and polar science, geoscience (mn eur)","Federal budget on research and development in the field of coastal, ocean and polar science, geoscience",
data:female,Female,
data:female employees in public sector,Female employees in public sector,
data:female employees in public sector (%),Female employees in public sector,
data:female victims of criminal offences having/ had a intimate relationship with the suspect,Female victims of criminal offences having/ had a intimate relationship with the suspect,
data:female victims of criminal offences having/ had a intimate relationship with the suspect (number),Female victims of criminal offences having/ had a intimate relationship with the suspect,
data:final energy consumption for the carriage of goods,Final energy consumption for the carriage of goods,
data:final energy consumption in freight transport,Final energy consumption in freight transport,
data:final energy consumption in passenger transport,Final energy consumption in passenger transport,
data:final energy consumption per passenger-kilometre,Final energy consumption per passenger-kilometre,
data:final energy consumption per tonne-kilometre,Final energy consumption per tonne-kilometre,
data:final energy productivity and primary energy consumption,Final energy productivity and primary energy consumption,
data:fish stocks within biologically sustainable levels,Fish stocks within biologically sustainable levels,
data:fish stocks within biologically sustainable levels (%),Fish stocks within biologically sustainable levels,
data:fixed internet broadband access lines,Fixed internet broadband access lines,
data:fixed internet broadband access lines (per 100 inhabitants),Fixed internet broadband access lines,
data:flowing water bodies,Flowing water bodies,
data:foreign school graduates,Foreign school graduates,
data:forest area,Forest area,
data:forest area (%),Forest area,
data:forest area located within protected areas,Forest area located within protected areas,
data:forest area net change rate,Forest area net change rate,
data:forest area under an independently verified forest management certification scheme,Forest area under an independently verified forest management certification scheme,
data:form of exploitation,Form of exploitation,
data:fraud,Fraud,
data:freight transport,b) Freight transport,
data:funding balance (share of gross domestic product (at current prices) in %),Funding balance (share of gross domestic product (at current prices)),
data:funding balance and structural governmental funding balance,Funding balance and structural governmental funding balance,
data:g) basic handwashing facilities (as per the wash indicator definitions),g) basic handwashing facilities,
data:g/eur,g/EUR,
data:g/eur (constant 2010),g/EUR (constant 2010),
data:gender parity index of,Gender Parity Index of,
data:gender pay gap,Gender Pay Gap,
data:generation of renewable energies relative to gross final energy consumption,Generation of renewable energies relative to gross final energy consumption,
data:german funding primarily to developing and emerging countries for climate protection,German funding primarily to developing and emerging countries for climate protection,
data:german school graduates (share of all german leavers),German school graduates (share of all german leavers),
data:germany,Germany,
data:gini coefficient of equivalised income before social transfers,Gini coefficient of equivalised income before social transfers,
data:girls and women reached by the vocational qualification programmes of  german development cooperation,Girls and women reached by the vocational qualification programmes of  german development cooperation,
data:giving birth between 10 to under 15 years,Giving birth between 10 to under 15 years,
data:giving birth between 10 to under 15 years (per 1 000 women of same age),Giving birth between 10 to under 15 years,
data:giving birth between 15 to under 20 years,Giving birth between 15 to under 20 years,
data:giving birth between 15 to under 20 years (per 1 000 women of same age),Giving birth between 15 to under 20 years,
data:goods transport performance,Goods transport performance,
data:goss fixed capital formation,Gross fixed capital formation,
data:goverment spending on environmental protection (cofog section 5),Goverment spending on environmental protection (COFOG section 5),
data:goverment spending on environmental protection (cofog section 5) (%),Goverment spending on environmental protection (COFOG section 5),
"data:goverment spending on recreation, culture and religion (cofog section 8)","Goverment spending on recreation, culture and religion (COFOG section 8)",
"data:goverment spending on recreation, culture and religion (cofog section 8) (%)","Goverment spending on recreation, culture and religion (COFOG section 8)",
data:government fiscal balance,Government fiscal balance,
data:government spending on foreign economic aid (cofog group 01-2),Government spending on foreign economic aid (COFOG group 01.2),
data:government spending on foreign economic aid (cofog group 01-2) (%),Government spending on foreign economic aid (COFOG group 01.2),
data:greater north sea,Greater North Sea,
data:greenhouse gas emissions in co2 equivalents,Greenhouse gas emissions in CO<sub>2</sub> equivalents,
data:gross domestic product per capita,Gross domestic product per capita,
data:gross domestic produkt (price-adjusted) (year-on-year changes in %),Gross domestic produkt (price-adjusted) (year-on-year changes),
data:gross value added of high-tech industries to total manufacturing value added,Gross value added of high-tech industries to total manufacturing value added,
data:gross value added of high-tech industries to total manufacturing value added (%),Gross value added of high-tech industries to total manufacturing value added,
data:gross value added of medium- and high-tech industries to total manufacturing value added,Gross value added of medium- and high-tech industries to total manufacturing value added,
data:gross value added of medium- and high-tech industries to total manufacturing value added (%),Gross value added of medium- and high-tech industries to total manufacturing value added,
data:gross value added of medium-high-tech industries to total manufacturing value added,Gross value added of medium-high-tech industries to total manufacturing value added,
data:gross value added of medium-high-tech industries to total manufacturing value added (%),Gross value added of medium-high-tech industries to total manufacturing value added,
data:gross value added of small-scale industries in manufacturing,Gross value added of small-scale industries in manufacturing,
data:gross value added of small-scale industries in manufacturing (%),Gross value added of small-scale industries in manufacturing,
data:growth rate of income of the bottom 40 per cent of the population,Growth rate of income of the bottom 40 per cent of the population,
data:growth rate of income of the bottom 40 per cent of the population (%),Growth rate of income of the bottom 40 per cent of the population,
data:growth rate of income of the total population,Growth rate of income of the total population,
data:growth rate of income of the total population (%),Growth rate of income of the total population,
data:ha/d,hectares per day (ha/d),
data:hamburg,Hamburg,
data:hb,Bremen,
data:he,Hesse,
data:health workers,Health workers,
data:health workers - practising concept,Health workers - Practising concept,
data:health workers - practising concept (per 10 000 inhabitants),Health workers - Practising concept,
data:hepatitis b incidence,Hepatitis B incidence,
data:hepatitis b incidence (per 100 000 inhabitants),Hepatitis B incidence,
data:hesse,Hesse,
data:hh,Hamburg,
data:hiv incidence,HIV incidence,
data:hiv incidence (per 1 000 inhabitants),HIV incidence,
data:hours worked by employees,Hours worked by employees,
data:hours worked by persons employed,Hours worked by persons employed,
data:households and small-sized enterprises connected to the electricity network,Households and small-sized enterprises connected to the electricity network,
data:households covered by (%):,Households covered by a mobile network,
data:households covered by:,Households covered by:,
data:imports from ldcs,Imports from LDCs,
data:imports from the least developed countries (ldcs),Imports from the least developed countries (LDCs),
data:imports of processed products from ldcs,Imports of processed products from LDCs,
data:incineration,incineration,
data:income,Income or wealth quantile,
data:index,Index,
data:index overall,Index overall,
data:indicator,Indicator,
data:infant mortality rate (under 1 year),Infant mortality rate (under 1 year),
data:infant mortality rate (under 1 year) (per 1 000 live births),Infant mortality rate (under 1 year),
data:inhabitans per square kilometre of settlement and transport area,Inhabitans per square kilometre of settlement and transport area,
data:inland waterway transport,Inland waterway transport,
data:inpatient treatment of alcohol dependence,Inpatient treatment of alcohol dependence,
data:inpatient treatment of alcohol dependence (1 000),Inpatient treatment of alcohol dependence,
data:inpatient treatment of dependence syndrom due to psychoactive substance use,Inpatient treatment of dependence syndrom due to psychoactive substance use,
data:inpatient treatment of dependence syndrom due to psychoactive substance use (1 000),Inpatient treatment of dependence syndrom due to psychoactive substance use,
data:installing software or apps,Installing software or apps,
data:intestinal nematode infections,intestinal nematode infections,
data:items,Items,
data:key biodiversity areas (kbas) covered by protected areas,Key Biodiversity Areas (KBAs) covered by protected areas,
data:key biodiversity areas (kbas) covered by protected areas (%),Key Biodiversity Areas (KBAs) covered by protected areas,
data:kg per capita,kg per capita,
data:kg/ha,Kilograms per hectare (kg/ha),
data:labour productivity in agriculture,Labour productivity in agriculture,
data:labour productivity in agriculture (2010 = 100),Labour productivity in agriculture,
data:labour productivity in forestry,Labour productivity in forestry,
data:labour productivity in forestry (2010 = 100),Labour productivity in forestry,
data:labour productivity per hour worked by employee,Labour productivity per hour worked by employee,
data:labour productivity per hour worked by persons employed,Labour productivity per hour worked by persons employed,
data:labour share of gdp,Labour share of GDP,
data:labour share of gdp (%),Labour share of GDP,
data:land consumption rate,Land consumption rate,
"data:legal frameworks that promote, enforce and monitor gender equality regarding (%):","Legal frameworks that promote, enforce and monitor gender equality regarding:",
"data:legal frameworks that promote, enforce and monitor gender equality regarding:","Legal frameworks that promote, enforce and monitor gender equality regarding:",
data:level of proficiency,Level of proficiency,
data:level of risk of extinction,Level of risk of extinction,
data:level of risk of extinction (%),Level of risk of extinction,
data:level of risk of extinction (according to fao classification),Level of risk of extinction (according to FAO classification),
data:level of risk of extinction (according to fao classification) (%),Level of risk of extinction (according to FAO classification),
data:level of risk of extinction (according to national classification),Level of risk of extinction (according to national classification),
data:level of risk of extinction (according to national classification) (%),Level of risk of extinction (according to national classification),
data:level of water stress (%):,Level of water stress,
data:level of water stress:,Level of water stress,
data:level of waterstress,Level of waterstress,
data:liquid assets to short-term liabilities,Liquid assets to short-term liabilities,
data:liquid assets to short-term liabilities (%),Liquid assets to short-term liabilities,
data:litres of pure alcohol per capita,Litres of pure alcohol per capita,
data:live births in hospitals,Live births in hospitals,
data:live births in hospitals (%),Live births in hospitals,
"data:local livestock breeds (horses, cows, pigs, sheep and goats)","Local livestock breeds (horses, cows, pigs, sheep and goats)",
"data:local livestock breeds (horses, cows, pigs, sheep and goats) (number)","Local livestock breeds (horses, cows, pigs, sheep and goats)",
data:lower saxony,Lower Saxony,
data:lte,LTE,
data:m2/(inhabitant*a),m<sup>2</sup>/(inhabitant*a),
data:malaria incidence,Malaria incidence,
data:malaria incidence (per 1 000 inhabitants),Malaria incidence,
data:male,Male,
data:male and female,Both sexes,
data:manufacturing gross value added as a proportion of gdp,Manufacturing gross value added as a proportion of GDP,
data:manufacturing gross value added as a proportion of gdp (%),Manufacturing gross value added as a proportion of GDP,
data:manufacturing gross value added as a proportion of total gross value added,Manufacturing gross value added as a proportion of total gross value added,
data:manufacturing gross value added as a proportion of total gross value added (%),Manufacturing gross value added as a proportion of total gross value added,
data:manufacturing gross value added per capita,Manufacturing gross value added per capita,
data:manufacturing gross value added per capita (eur),Manufacturing gross value added per capita,
data:manufacturing persons employed,Manufacturing persons employed,
data:manufacturing persons employed (%),Manufacturing persons employed,
data:marine key biodiversity areas (kbas) covered by protected areas,Marine Key Biodiversity Areas (KBAs) covered by protected areas,
data:marine key biodiversity areas (kbas) covered by protected areas (%),Marine Key Biodiversity Areas (KBAs) covered by protected areas,
data:market share of products certified by independently verified sustainability labelling schemes,Market share of products certified by independently verified sustainability labelling schemes,
data:marriage and family,marriage and family,
data:married girls under 15 years,Married girls under 15 years,
data:married girls under 18 years,Married girls under 18 years,
data:material deprivation for the housing dimension (one to four items),Material deprivation for the housing dimension (one to four items),
data:material deprivation for the housing dimension (one to four items) (%),Material deprivation for the housing dimension (one to four items),
data:maternal mortality,Maternal mortality,
data:maternal mortality (per 100 000 live births),Maternal mortality,
data:mathematics,mathematics,
data:mecklenburg western pomerania,Mecklenburg Western Pomerania,
